names,price,date,location,description,location_url,type,event_link,Latitude,Longitude,time
"فعالية ""بازار ريف""",0.0,13 رمضان - 22 رمضان,واجهة روشن,"تنطلق يوم الخميس المقبل فعاليات ""بازار ريف""، الذي ينظمه برنامج التنمية الريفية الزراعية المستدامة ""ريف السعودية"" في واجهة روشن بالرياض؛ لدعم وتحفيز الأسر الريفية المنتجة، من خلال تسليط الضوء على منتجاتها الزراعية المحلية، والحرف التقليدية التي تحكي عبرها، أصالة التراث السعودي، وإبداع الأسر في عكس التنوع الثقافي الفريد لكل منطقة.

 وتشتمل الفعاليات التي تستمر على مدار (10) أيام، على أنشطة متنوعة تلبي اهتمامات الزوار، من عروض للحِرف اليدوية، وتذوق المنتجات الريفية، إلى جانب الاستمتاع بالأجواء الرمضانية الخاصة، التي تعكس جوانب من التراث والثقافة السعودية.","https://www.google.com/maps/place/24%C2%B050'28.9%22N+46%C2%B043'59.7%22E/@24.8413476,46.7332522,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.8413476!4d46.7332522?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://x.com/ReefSaudi/status/1898784830596190389,24.8413476,46.7332522,9:00 م- 1:00 ص
ليالي كافد الرمضانية,0.0,04 رمضان - 29 رمضان,كافد,"تضم  ليالي كافد الرمضانية مجموعة متنوعة من الأنشطة المجتمعية التقليدية والتجارب التي تناسب جميع الفئات العمرية على مدار الشهر والمستوحاة من قيم الشهر الفضيل في الألفة والتأمل والاحتفال.

المناطق والأنشطة:

خيمة الإفطار والسحور
السوق: مجموعة من محلات الأزياء، المجوهرات، والعطور
منطقة الليزر تاق: استمتعوا بتجربة الليزر تاق الحماسية ضمن أجواء رائعة لجميع الأعمار","https://www.google.com/maps/place/24%C2%B046'04.3%22N+46%C2%B038'39.8%22E/@24.767865,46.6443752,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.767865!4d46.6443752?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://kafdramadannights.com/,24.767865,46.6443752,5:00 م- 11:00 م
معرض فن المملكة,0.0,25 شعبان - 26 شوّال,حي جاكس - الدرعية,"افتتحت هيئة المتاحف في الرياض، معرض ""فنّ المملكة"" في محطّته الثانية، بالمتحف السعودي للفن المعاصر في جاكس، وذلك بعد النجاح الذي حققه في أولى محطاته الدولية في ريو دي جانيرو- البرازيل.

 وانطلاقًا من دور هيئة المتاحف في تعزيز الأشكال الجديدة من التعبير الإبداعي ودعم الفنانين، يحتفي ""فنّ المملكة"" بالمشهد الفني السعودي المعاصر، مقدّمًا رؤى إبداعية متنوعة تعكس ثراء الهوية الثقافية للمملكة.","https://www.google.com/maps/place/24%C2%B044'44.8%22N+46%C2%B032'07.3%22E/@24.7457875,46.5353618,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.7457875!4d46.5353618?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://x.com/MOCMuseums,24.7457875,46.5353618,10:00 ص- 10:00 م
مؤتمر قادة الموارد البشرية بالرياض,0.0,23 شوّال,فندق فوكو، الرياض,"يُعَد ""مؤتمر قادة الموارد البشرية"" منصة رائدة في مجال الموارد البشرية، حيث يقدم فعاليات متميزة تركز على احتياجات المستخدمين، وتساهم في تمكين قادة الموارد البشرية من المشاركة في نقاشات حيوية مع كبار المديرين التنفيذيين في هذا القطاع.","https://www.google.com/maps/place/24%C2%B039'59.9%22N+46%C2%B041'48.2%22E/@24.666637,46.6967202,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.666637!4d46.6967202?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://ksa.hrleadersconference.com/,24.666637,46.6967202,8:00 ص- 5:00 م
معرض أوتوميكانيكا الرياض,0.0,30 شوّال - 02 ذو القعدة,مركز الرياض الدولي للمؤتمرات والمعارض,"المعرض التجاري الإقليمي الرائد في السعودية لقطاع خدمات المركبات يعود في دورته السابعة!

يستعد أوتوميكانيكا الرياض هذا العام لإعادة تعريف تجربة قطاع خدمات المركبات. استعد لاكتشاف أكبر معرض عالمي للعلامات التجارية الرائدة، والتقنيات المبتكرة، والمنتجات التي تغطي جميع جوانب سلسلة التوريد في هذا القطاع. لا تفوّت فرصة التواصل مع أكثر من 450 عارضاً من 32 دولة، إلى جانب 9 أجنحة دولية، خلال ثلاثة أيام حافلة بالفعاليات والفرص التجارية.","https://www.google.com/maps/place/24%C2%B045'11.0%22N+46%C2%B043'36.4%22E/@24.7530562,46.7267723,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.7530562!4d46.7267723?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://www.automechanikariyadh.com/ar.html,24.7530562,46.7267723,2:00 م- 10:00 م
معرض السيارات الكهربائية,0.0,06 ذو القعدة - 08 ذو القعدة,واجهة الرياض للمعارض والمؤتمرات,"يسلط المعرض معرض السيارات الكهربائية  الضوء على التطورات المتسارعة في قطاع المركبات الكهربائية. وتعزيز الوعي بأهمية التحول نحو الطاقة النظيفة والمستدامة. وذلك تماشيًا مع رؤية المملكة 2030 التي تهدف إلى بناء اقتصاد متنوع ومستدام.

كما يشمل المعرض مجموعة متنوعة من العروض التوضيحية والورش العمل. والتي تغطي أحدث التقنيات في مجال المركبات الكهربائية والبنية التحتية اللازمة لدعمها.","https://www.google.com//maps/search/24.835667695113,46.729393550928?hl=ar",Exhibitions and festivals,https://evs-saudi.com/,24.835667695113,46.729393550928,5:00 م- 9:00 م
معرض مشروعات السعودية,0.0,07 ذو القعدة - 09 ذو القعدة,مركز الرياض الدولي للمؤتمرات والمعارض,"الدورة الأولى من المعرض العام الماضي كانت حدثًا استثنائيًا بكل المقاييس. استقطب عددًا كبيرًا من الزوار والمتخصصين من مطورين عقاريين يهتمون بالاستدامة إلى شركات البناء الكبرى، حيث اكتشف الجميع أحدث الابتكارات والحلول في قطاع البناء المستدام مثل الإسمنت الأخضر والحديد الاخضر وكافة منتجات البناء المستدامة. وشهد المعرض أيضًا صفقات وشراكات ضخمة انطلقت من قلب الرياض.

أما هذه السنة، فالدورة الثانية من المعرض تعد بأن تكون أكبر وأقوى، ليجمع بين الابتكار والالتزام بالاستدامة. إنها فرصة ذهبية للشركات الوطنية الكبرى لدعم هذا الحدث الفريد والمساهمة في تعزيز ريادة المملكة في إقامة معارض متخصصة بهذا المستوى.","https://www.google.com/maps/place/24%C2%B045'11.0%22N+46%C2%B043'36.4%22E/@24.7530562,46.7267723,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.7530562!4d46.7267723?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://www.saudiprojectshow.com/,24.7530562,46.7267723,3:00 م- 10:00 م
معرض الفنادق والضيافة بالمملكة العربية السعودية,0.0,10 شوّال - 12 شوّال,مركز الرياض الدولي للمؤتمرات والمعارض,"على مدار أكثر من عقد من الزمان، نجح معرض الفنادق والضيافة بالمملكة العربية السعودية في توحيد الشركات الرائدة مع المشترين الأكثر تأثيرًا في قطاع الفنادق والضيافة.

مع تقدم المملكة العربية السعودية نحو تحقيق هدف رؤية 2030 المتمثل في اقتصاد أكثر تنوعًا، لقد شهدت صناعة الضيافة طفرة كبيرة، وذلك مع التركيز على السفر والسياحة.

يُعد معرض الفنادق والضيافة بالمملكة العربية السعودية منصتك الرئيسية لإقامة علاقات لا تُقدر بثمن وإبرام صفقات مربحة والبقاء في طليعة صناعة الضيافة. اغتنم الفرصة للقاء أكثر من 23,000 مشترٍ نشط يقدمون منتجات وحلولاً للمشاريع العملاقة في المملكة العربية السعودية، مثل نيوم، ومشروع البحر الأحمر، والقدية، والعلا، وروشن، وغيرها.","https://www.google.com/maps/place/24%C2%B045'11.0%22N+46%C2%B043'36.4%22E/@24.7530562,46.7267723,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.7530562!4d46.7267723?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://ar.thehotelshowsaudiarabia.com/,24.7530562,46.7267723,2:00 م- 10:00 م
معرض سعودي فود للتصنيع,0.0,15 شوّال - 17 شوّال,مركز الرياض الدولي للمؤتمرات والمعارض,"معرض سعودي فود للتصنيع يوفر فرصة الاطلاع على رؤى وأفكار قيّمة حول آليات عمل هذه السوق، مع تسليط الضوء على كيفية تعامل كبرى الشركات الرائدة عالمياً في القطاع معها، والسبل التي تتيح للشركات إمكانية الاستفادة من هذه التوجهات بشكل فاعل.

يوفر معرض سعودي فود للتصنيع منصةً استراتيجية حافلة بالفرص لاستكشاف الحلول المخصصة للأعمال أمام الخبراء في قطاع تصنيع الأغذية والمشروبات، بما يشمل المكونات الغذائية والمعالجة والتعبئة والتحكم والأتمتة الصناعية وحلول سلسلة التوريد.

ويجمع المعرض نخبة من العلامات التجارية العالمية، بما فيها نخبة من الشركات الرائدة في القطاع. 
","https://www.google.com/maps/place/24%C2%B045'11.0%22N+46%C2%B043'36.4%22E/@24.7530562,46.7267723,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.7530562!4d46.7267723?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://www.saudifoodmanufacturing.com/,24.7530562,46.7267723,2:00 م- 10:00 م
مؤتمر مبادرة القدرات البشرية 2025,0.0,15 شوّال - 16 شوّال,مركز الملك عبدالعزيز الدولي للمؤتمرات، الرياض,"أول مؤتمر عالمي يركز على تنمية القدرات البشرية

يعد مؤتمر مبادرة تنمية القدرات البشرية المنصة العالمية الأولى من نوعها الهادفة إلى توحيد الجهود الدولية وإثراء الحوار العالمي بما يُسهم في رسم مستقبل القدرات البشرية وبناء اقتصادٍ عالمي مزدهر؛ حيث يناقش التحديات والفرص في ظل المتغيرات العالمية.

ويستضيف المؤتمر بنسخته الثانية تحت شعار #ما_بعد_الاستعداد_للمستقبل؛ أكثر من 300 متحدثًا من القادة وصنّاع السياسات والخبراء العالميين من القطاع الأكاديمي والخاص والغير ربحي في أكثر من 100 جلسة حوارية في العاصمة الرياض؛ لتبادل الخبرات ومناقشة الأفكار التي تعزز من جاهزية القدرات البشرية لمواكبة التغيرات المتسارعة في العالم.","https://www.google.com/maps/place/24%C2%B040'02.9%22N+46%C2%B038'00.5%22E/@24.6674632,46.6334669,17z/data=!3m1!4b1!4m4!3m3!8m2!3d24.6674632!4d46.6334669?hl=ar&entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Exhibitions and festivals,https://humancapabilityinitiative.org/ar/,24.6674632,46.6334669,9:30 ص- 5:30 م
